"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC107985269",-0.0587023602466217,0.0195674534155406,-1.29857748084054,0.275739059089267,0.632951392072483,-7.71877499264327
"HBBP1",-0.0586680566474922,0.0195560188824974,-1.29857734551584,0.27573910044881,0.632951392072483,-7.71877514446088
"LOC105371850",-0.0586680566474922,0.0195560188824974,-1.29857734551584,0.27573910044881,0.632951392072483,-7.71877514446088
"FXYD7",0.0586597040008813,0.0195532346669605,1.29857731252944,0.275739110530507,0.632951392072483,-7.71877518146756
"CCL21",0.0585921606767573,0.0195307202255858,1.2985770452679,0.275739192214175,0.632951392072483,-7.71877548130201
"MRLN",-0.0583477042491539,0.019449234749718,-1.29857607021115,0.275739490222885,0.632951392072483,-7.71877657519512
"LOC105377845",-0.0582570162648924,0.0194190054216308,-1.29857570536178,0.275739601732675,0.632951392072483,-7.71877698451093
"LOC105372594",0.0581605411763064,0.0193868470587688,1.29857531535543,0.275739720931304,0.632951392072483,-7.71877742204972
"LOC105377198",0.0581047252768267,0.0193682417589422,1.29857508882884,0.275739790165224,0.632951392072483,-7.71877767618446
"LOC105375783",-0.05791913369778,0.01930637789926,-1.29857433089881,0.275740021813506,0.632951392072483,-7.71877852648784
"LOC105379514",-0.0578980850866158,0.0192993616955386,-1.29857424447882,0.275740048226301,0.632951392072483,-7.71877862344033
"LOC105374796",0.0578536301059274,0.0192845433686425,1.29857406164849,0.275740104105282,0.632951392072483,-7.71877882855322
"TMEM246-AS1",-0.0578464681463758,0.019282156048792,-1.29857403215402,0.275740113119765,0.632951392072483,-7.71877886164235
"LOC105371776",0.0576839095495643,0.0192279698498548,1.29857335974643,0.275740318629818,0.632951392072483,-7.71877961599998
"LINC02387",-0.0575192153452022,0.0191730717817341,-1.29857267268407,0.275740528619015,0.632951392072483,-7.7187803867983
"PRPF39-DT",-0.0575192153452022,0.0191730717817341,-1.29857267268407,0.275740528619015,0.632951392072483,-7.7187803867983
"LOC105369969",0.0574731072715699,0.0191577024238566,1.29857247927404,0.275740587731605,0.632951392072483,-7.71878060378021
"NIPAL4-DT",0.0573047709703544,0.0191015903234515,1.29857176918466,0.275740804758847,0.632951392072483,-7.7187814004118
"LINC02557",0.0572537434930412,0.0190845811643471,1.29857155269875,0.275740870924269,0.632951392072483,-7.71878164328192
"LOC105369176",0.0572470887496268,0.0190823629165423,1.29857152442309,0.275740879566269,0.632951392072483,-7.71878167500368
"LOC101927243",-0.0570704574722304,0.0190234858240768,-1.29857077030741,0.275741110049682,0.632951392072483,-7.71878252102706
"KRTAP2-3",-0.0570526120724173,0.0190175373574725,-1.29857069372791,0.275741133454994,0.632951392072483,-7.71878260693966
"LINC01433",-0.057013794441619,0.0190045981472063,-1.29857052690247,0.275741184442556,0.632951392072483,-7.71878279409689
"LOC105375373",0.0568962313381844,0.0189654104460615,1.29857001957052,0.275741339500614,0.632951392072483,-7.71878336325969
"LOC105373851",-0.0568362009806938,0.0189454003268979,-1.29856975930065,0.275741419048055,0.632951392072483,-7.7187836552498
"LOC105376622",-0.0567261527560403,0.0189087175853468,-1.29856928002426,0.275741565531497,0.632951392072483,-7.71878419293769
"LOC105370639",-0.056706046795543,0.0189020155985143,-1.29856919215826,0.275741592386394,0.632951392072483,-7.71878429151229
"LOC105372069",-0.0566016367126131,0.0188672122375377,-1.2985687343645,0.275741732304089,0.632951392072483,-7.71878480509929
"LOC107985593",0.0564949007048123,0.0188316335682708,1.29856826374695,0.275741876141253,0.632951392072483,-7.7187853330729
"LOC105372878",0.0563005857794855,0.0187668619264952,1.29856740009807,0.275742140102722,0.632951392072483,-7.718786301978
"LST1",-0.0560713997313555,0.0186904665771185,-1.29856636990098,0.275742454967515,0.632951392072483,-7.71878745772889
"LOC107984733",0.0560674886704822,0.0186891628901607,1.29856635221097,0.275742460374212,0.632951392072483,-7.71878747757484
"LOC107984802",0.0559696268280978,0.0186565422760326,1.2985659083671,0.275742596028766,0.632951392072483,-7.71878797551146
"LOC101929547",-0.0559613295566127,0.0186537765188709,-1.29856587062845,0.27574260756305,0.632951392072483,-7.71878801784944
"LOC105376276",-0.0558860564763806,0.0186286854921269,-1.2985655274942,0.275742712437194,0.632951392072483,-7.71878840280257
"LOC105375931",0.0557645048503725,0.0185881682834575,1.29856497046223,0.275742882686246,0.632951392072483,-7.71878902772176
"LOC112268173",-0.0556860106234772,0.0185620035411591,-1.29856460880888,0.275742993220605,0.632951392072483,-7.71878943345088
"LOC105369827",-0.055605896289958,0.0185352987633193,-1.29856423811096,0.275743106519358,0.632951392072483,-7.71878984932681
"OR4F4",0.0555869961295083,0.0185289987098361,1.29856415042412,0.275743133319649,0.632951392072483,-7.71878994770029
"LINC02084",-0.0554648111690653,0.0184882703896884,-1.29856358138572,0.275743307238569,0.632951392072483,-7.71879058608895
"LINC02082",0.0552954754602591,0.0184318251534197,1.29856278651345,0.275743550180755,0.632951392072483,-7.7187914778343
"LOC105377155",-0.0552732583694267,0.0184244194564756,-1.29856268168268,0.275743582220906,0.632951392072483,-7.71879159544104
"LOC105378408",0.0552366005362199,0.01841220017874,1.29856250843709,0.275743635171163,0.632951392072483,-7.71879178980048
"CD40LG",0.0552366005362199,0.01841220017874,1.29856250843709,0.275743635171163,0.632951392072483,-7.71879178980048
"MIR425",-0.613666358842435,0.488636153232438,-1.29856172654163,0.275743874147443,0.632951392072483,-7.71879266698726
"LOC101927839",-0.0550001890333872,0.0183333963444624,-1.29856138282003,0.275743979201591,0.632951392072483,-7.71879305259891
"SCGB1C1",-0.0548693759459607,0.0182897919819869,-1.29856075372382,0.275744171476975,0.632951392072483,-7.71879375836427
"SCGB1C2",-0.0548693759459607,0.0182897919819869,-1.29856075372382,0.275744171476975,0.632951392072483,-7.71879375836427
"RIPPLY2",0.0547434241305892,0.0182478080435297,1.29856014374045,0.27574435791089,0.632951392072483,-7.71879444268737
"LOC105379244",-0.0546655158231215,0.0182218386077072,-1.29855976431931,0.275744473876356,0.632951392072483,-7.71879486834916
"PTH",0.0546577436273386,0.0182192478757795,1.29855972637894,0.275744485472373,0.632951392072483,-7.71879491091338
"LOC105377282",0.0544951348878897,0.0181650449626299,1.29855892887041,0.275744729221353,0.632951392072483,-7.7187958056154
"LINC01425",0.0543607735481992,0.0181202578493997,1.2985582644943,0.27574493228016,0.632951392072483,-7.71879655095982
"LOC102723789",-0.0542173617314075,0.0180724539104692,-1.29855754991077,0.275745150684448,0.632951392072483,-7.71879735263036
"NEUROG3",0.0541354296311323,0.0180451432103774,1.29855713911364,0.275745276239972,0.632951392072483,-7.71879781349166
"SLN",-0.0541215284065446,0.0180405094688482,-1.29855706922953,0.275745297599274,0.632951392072483,-7.71879789189261
"UAP1-DT",-0.0541115604846145,0.0180371868282048,-1.29855701908572,0.27574531292517,0.632951392072483,-7.71879794814748
"MIR3944",-0.614505870645554,0.445038884700449,-1.29855631777887,0.27574552727189,0.632951392072483,-7.71879873492304
"S100G",-0.0539104087679519,0.017970136255984,-1.29855600123809,0.275745624019151,0.632951392072483,-7.7187990900408
"LOC107986239",-0.0538954113962295,0.0179651371320765,-1.29855592489315,0.275745647353162,0.632951392072483,-7.71879917568994
"LOC105374951",-0.0538954113962295,0.0179651371320765,-1.29855592489315,0.275745647353162,0.632951392072483,-7.71879917568994
"LOC105376639",0.0538264099130563,0.0179421366376855,1.29855557281486,0.275745754962125,0.632951392072483,-7.71879957067613
"LOC107987235",-0.0538019737359932,0.0179339912453311,-1.29855544780504,0.275745793170051,0.632951392072483,-7.71879971092094
"OR1K1",0.0537321545804323,0.0179107181934774,1.29855508968631,0.275745902625273,0.632951392072483,-7.71880011268369
"LINC00626",0.0535443278932817,0.0178481092977606,1.29855411931766,0.27574619920846,0.632951392072483,-7.71880120131121
