"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC105377590",0.600014517811051,1.24683450287922,2.88790104471663,0.0548127511685063,0.179401268870222,-6.06349651664778
"CDH17",-0.0603333625476937,0.0461404236513177,-2.88723707952839,0.0548451356824335,0.179492342478608,-6.06421188156026
"SETD4",-0.205941541764076,3.21758345745037,-2.88713903278022,0.0548499198202588,0.179493080369254,-6.0643175243537
"SLA",-0.0980880116322618,0.0409117508400608,-2.88665708962924,0.0548734433299168,0.179555136513932,-6.06483682759273
"PLP1",-0.223162998253212,0.0780854615454568,-2.88634161295827,0.0548888482796801,0.17959061925911,-6.06517677986705
"LOC105377291",0.287820537901255,0.99798076740752,2.88571523977438,0.0549194500655116,0.179675814447815,-6.0658517956887
"LINC02880",-0.195368182683347,0.121873960902379,-2.88512415024521,0.0549483470163274,0.179755418363316,-6.06648884486105
"VNN2",0.118293352921654,0.0715000628767382,2.88433595187116,0.0549869088222054,0.179866623574438,-6.06733841507691
"SMIM10L2B",-0.251699168133578,2.25283266179448,-2.88394233586993,0.0550061783647778,0.179914708999399,-6.06776271624594
"SLC8B1",-0.187923452867552,3.79172282675952,-2.88354499691311,0.0550256384663893,0.179963409666551,-6.06819105550813
"LINC02827",0.132343424542428,0.125779478820892,2.88323989063976,0.0550405870368252,0.17999734833787,-6.0685199830954
"TANGO2",-0.163762911294122,3.52492749015255,-2.88206665690963,0.0550981150627215,0.180170515943825,-6.06978495502458
"PCDHB17P",-0.0758092870766103,0.329890287285386,-2.88167082292237,0.0551175407170675,0.180219070602376,-6.07021178950909
"ZNF385C",0.304978030668034,1.12616773750102,2.88141950542445,0.0551298784952461,0.18024444373261,-6.07048280230267
"MFAP3",0.0893175938689454,5.30163554290352,2.8799754441553,0.0552008358206586,0.18044868226431,-6.07204022595128
